year,round,type,institute,branch,quota,seat_type,gender,open_rank,close_rank,rank_gap,rank_mid
2021,1,0,47,105,0,4,1,8471.0,10302.0,1831.0,9386.5
2021,1,0,47,105,0,4,0,16750.0,17412.0,662.0,17081.0
2021,1,0,47,105,0,0,1,1420.0,1603.0,183.0,1511.5
2021,1,0,47,105,0,0,0,3536.0,3536.0,0.0,3536.0
2021,1,0,47,105,0,2,1,3044.0,3846.0,802.0,3445.0
2021,1,0,47,105,0,2,0,6138.0,7788.0,1650.0,6963.0
2021,1,0,47,105,0,6,1,1754.0,2199.0,445.0,1976.5
2021,1,0,47,105,0,6,0,3093.0,3110.0,17.0,3101.5
2021,1,0,47,105,0,8,1,656.0,698.0,42.0,677.0
2021,1,0,47,105,0,8,0,909.0,909.0,0.0,909.0
2021,1,0,47,107,0,4,1,10473.0,11262.0,789.0,10867.5
2021,1,0,47,107,0,4,0,18954.0,18954.0,0.0,18954.0
2021,1,0,47,107,0,0,1,1691.0,1691.0,0.0,1691.0
2021,1,0,47,107,0,2,1,4063.0,4338.0,275.0,4200.5
2021,1,0,47,107,0,2,0,6812.0,6812.0,0.0,6812.0
2021,1,0,47,107,0,6,1,2346.0,2346.0,0.0,2346.0
2021,1,0,47,107,0,8,1,796.0,796.0,0.0,796.0
2021,1,0,47,108,0,4,1,11065.0,11274.0,209.0,11169.5
2021,1,0,47,108,0,4,0,19513.0,19513.0,0.0,19513.0
2021,1,0,47,108,0,0,1,1754.0,1754.0,0.0,1754.0
2021,1,0,47,108,0,2,1,3685.0,4402.0,717.0,4043.5
2021,1,0,47,108,0,6,1,2235.0,2404.0,169.0,2319.5
2021,1,0,47,109,0,4,1,11345.0,11828.0,483.0,11586.5
2021,1,0,47,109,0,4,0,19556.0,19556.0,0.0,19556.0
2021,1,0,47,109,0,0,1,1812.0,1812.0,0.0,1812.0
2021,1,0,47,109,0,2,1,4133.0,4483.0,350.0,4308.0
2021,1,0,47,109,0,6,1,2275.0,2275.0,0.0,2275.0
2021,1,0,47,109,0,8,1,918.0,918.0,0.0,918.0
2021,1,0,47,130,0,4,1,1621.0,2176.0,555.0,1898.5
2021,1,0,47,130,0,4,0,3221.0,5005.0,1784.0,4113.0
2021,1,0,47,130,0,5,1,97.0,97.0,0.0,97.0
2021,1,0,47,130,0,0,1,257.0,292.0,35.0,274.5
2021,1,0,47,130,0,0,0,685.0,685.0,0.0,685.0
2021,1,0,47,130,0,2,1,443.0,731.0,288.0,587.0
2021,1,0,47,130,0,2,0,1244.0,2120.0,876.0,1682.0
2021,1,0,47,130,0,3,1,51.0,51.0,0.0,51.0
2021,1,0,47,130,0,6,1,240.0,415.0,175.0,327.5
2021,1,0,47,130,0,6,0,850.0,910.0,60.0,880.0
2021,1,0,47,130,0,8,1,144.0,259.0,115.0,201.5
2021,1,0,47,130,0,8,0,462.0,462.0,0.0,462.0
2021,1,0,47,131,0,4,1,2293.0,2710.0,417.0,2501.5
2021,1,0,47,131,0,4,0,5150.0,5150.0,0.0,5150.0
2021,1,0,47,131,0,0,1,415.0,415.0,0.0,415.0
2021,1,0,47,131,0,2,1,901.0,961.0,60.0,931.0
2021,1,0,47,131,0,2,0,2251.0,2251.0,0.0,2251.0
2021,1,0,47,131,0,6,1,265.0,265.0,0.0,265.0
2021,1,0,47,131,0,8,1,378.0,378.0,0.0,378.0
2021,1,0,47,160,0,4,1,5104.0,6086.0,982.0,5595.0
2021,1,0,47,160,0,4,0,12517.0,12517.0,0.0,12517.0
2021,1,0,47,160,0,0,1,955.0,955.0,0.0,955.0
2021,1,0,47,160,0,0,0,2113.0,2113.0,0.0,2113.0
2021,1,0,47,160,0,2,1,2036.0,2353.0,317.0,2194.5
2021,1,0,47,160,0,6,1,1602.0,1602.0,0.0,1602.0
2021,1,0,47,160,0,8,1,833.0,833.0,0.0,833.0
2021,1,0,47,155,0,4,1,4438.0,5230.0,792.0,4834.0
2021,1,0,47,155,0,4,0,8253.0,10520.0,2267.0,9386.5
2021,1,0,47,155,0,0,1,587.0,851.0,264.0,719.0
2021,1,0,47,155,0,0,0,1648.0,1648.0,0.0,1648.0
2021,1,0,47,155,0,2,1,1721.0,2146.0,425.0,1933.5
2021,1,0,47,155,0,2,0,4548.0,5064.0,516.0,4806.0
2021,1,0,47,155,0,6,1,1061.0,1375.0,314.0,1218.0
2021,1,0,47,155,0,6,0,1348.0,1833.0,485.0,1590.5
2021,1,0,47,155,0,8,1,539.0,655.0,116.0,597.0
2021,1,0,47,155,0,8,0,999.0,999.0,0.0,999.0
2021,1,0,47,171,0,4,1,2918.0,3917.0,999.0,3417.5
2021,1,0,47,171,0,4,0,6811.0,7917.0,1106.0,7364.0
2021,1,0,47,171,0,0,1,471.0,499.0,28.0,485.0
2021,1,0,47,171,0,0,0,1101.0,1101.0,0.0,1101.0
2021,1,0,47,171,0,2,1,1085.0,1458.0,373.0,1271.5
2021,1,0,47,171,0,2,0,3079.0,3173.0,94.0,3126.0
2021,1,0,47,171,0,6,1,762.0,1021.0,259.0,891.5
2021,1,0,47,171,0,6,0,1499.0,1640.0,141.0,1569.5
2021,1,0,47,171,0,8,1,335.0,476.0,141.0,405.5
2021,1,0,47,171,0,8,0,680.0,680.0,0.0,680.0
2021,1,0,47,252,0,4,1,6295.0,7586.0,1291.0,6940.5
2021,1,0,47,252,0,4,0,11522.0,14501.0,2979.0,13011.5
2021,1,0,47,252,0,0,1,1002.0,1224.0,222.0,1113.0
2021,1,0,47,252,0,0,0,2293.0,3464.0,1171.0,2878.5
2021,1,0,47,252,0,2,1,2593.0,3114.0,521.0,2853.5
2021,1,0,47,252,0,2,0,5627.0,7091.0,1464.0,6359.0
2021,1,0,47,252,0,6,1,1429.0,1760.0,331.0,1594.5
2021,1,0,47,252,0,6,0,2821.0,2821.0,0.0,2821.0
2021,1,0,47,252,0,8,1,753.0,869.0,116.0,811.0
2021,1,0,47,254,0,4,1,7809.0,8533.0,724.0,8171.0
2021,1,0,47,254,0,4,0,15815.0,15815.0,0.0,15815.0
2021,1,0,47,254,0,0,1,1528.0,1528.0,0.0,1528.0
2021,1,0,47,254,0,2,1,3163.0,3583.0,420.0,3373.0
2021,1,0,47,254,0,2,0,7717.0,7717.0,0.0,7717.0
2021,1,0,47,254,0,6,1,1799.0,1826.0,27.0,1812.5
2021,1,0,47,254,0,8,1,915.0,915.0,0.0,915.0
2021,1,0,47,255,0,4,1,8681.0,8990.0,309.0,8835.5
2021,1,0,47,255,0,4,0,18052.0,18052.0,0.0,18052.0
2021,1,0,47,255,0,0,1,1315.0,1537.0,222.0,1426.0
2021,1,0,47,255,0,2,1,3586.0,3664.0,78.0,3625.0
2021,1,0,47,255,0,2,0,8149.0,8149.0,0.0,8149.0
2021,1,0,47,255,0,6,1,2047.0,2047.0,0.0,2047.0
2021,1,0,47,255,0,8,1,933.0,933.0,0.0,933.0
2021,1,0,47,257,0,4,1,7941.0,9141.0,1200.0,8541.0
2021,1,0,47,257,0,4,0,17604.0,17604.0,0.0,17604.0
2021,1,0,47,257,0,0,1,1562.0,1650.0,88.0,1606.0
2021,1,0,47,257,0,2,1,3129.0,3585.0,456.0,3357.0
2021,1,0,47,257,0,2,0,8005.0,8005.0,0.0,8005.0
2021,1,0,47,257,0,6,1,2000.0,2033.0,33.0,2016.5
2021,1,0,47,267,0,4,1,7605.0,10824.0,3219.0,9214.5
2021,1,0,47,267,0,4,0,15005.0,19658.0,4653.0,17331.5
2021,1,0,47,267,0,0,1,1621.0,1621.0,0.0,1621.0
2021,1,0,47,267,0,0,0,2977.0,2977.0,0.0,2977.0
2021,1,0,47,267,0,2,1,4110.0,4664.0,554.0,4387.0
2021,1,0,47,267,0,2,0,8033.0,8033.0,0.0,8033.0
2021,1,0,47,267,0,6,1,2338.0,2465.0,127.0,2401.5
2021,1,0,47,268,0,4,1,11359.0,12182.0,823.0,11770.5
2021,1,0,47,268,0,4,0,20283.0,20283.0,0.0,20283.0
2021,1,0,47,268,0,0,1,2002.0,2002.0,0.0,2002.0
2021,1,0,47,268,0,0,0,3646.0,3646.0,0.0,3646.0
2021,1,0,47,268,0,2,1,4773.0,4785.0,12.0,4779.0
2021,1,0,47,268,0,6,1,2520.0,2520.0,0.0,2520.0
2021,1,0,48,4,0,4,1,123.0,2003.0,1880.0,1063.0
2021,1,0,48,4,0,4,0,702.0,4419.0,3717.0,2560.5
2021,1,0,48,4,0,5,1,7.0,7.0,0.0,7.0
2021,1,0,48,4,0,0,1,342.0,470.0,128.0,406.0
2021,1,0,48,4,0,0,0,931.0,1501.0,570.0,1216.0
2021,1,0,48,4,0,2,1,389.0,1123.0,734.0,756.0
2021,1,0,48,4,0,2,0,1618.0,2505.0,887.0,2061.5
2021,1,0,48,4,0,6,1,129.0,579.0,450.0,354.0
2021,1,0,48,4,0,6,0,136.0,395.0,259.0,265.5
2021,1,0,48,4,0,8,1,305.0,504.0,199.0,404.5
2021,1,0,48,4,0,8,0,887.0,887.0,0.0,887.0
2021,1,0,48,67,0,4,1,198.0,1602.0,1404.0,900.0
2021,1,0,48,67,0,4,0,3996.0,5037.0,1041.0,4516.5
2021,1,0,48,67,0,0,1,424.0,451.0,27.0,437.5
2021,1,0,48,67,0,2,1,1379.0,1610.0,231.0,1494.5
2021,1,0,48,67,0,2,0,3699.0,3699.0,0.0,3699.0
2021,1,0,48,67,0,6,1,644.0,702.0,58.0,673.0
2021,1,0,48,67,0,6,0,2056.0,2056.0,0.0,2056.0
2021,1,0,48,67,0,8,1,85.0,85.0,0.0,85.0
2021,1,0,48,93,0,4,1,1266.0,2109.0,843.0,1687.5
2021,1,0,48,93,0,4,0,2719.0,4709.0,1990.0,3714.0
2021,1,0,48,93,0,5,1,88.0,164.0,76.0,126.0
2021,1,0,48,93,0,0,1,320.0,413.0,93.0,366.5
2021,1,0,48,93,0,0,0,1258.0,1321.0,63.0,1289.5
2021,1,0,48,93,0,2,1,818.0,1317.0,499.0,1067.5
2021,1,0,48,93,0,2,0,2730.0,3546.0,816.0,3138.0
2021,1,0,48,93,0,6,1,468.0,796.0,328.0,632.0
2021,1,0,48,93,0,6,0,927.0,1310.0,383.0,1118.5
2021,1,0,48,93,0,8,1,241.0,431.0,190.0,336.0
2021,1,0,48,93,0,8,0,439.0,522.0,83.0,480.5
2021,1,0,48,101,0,4,1,4173.0,5764.0,1591.0,4968.5
2021,1,0,48,101,0,4,0,10843.0,11155.0,312.0,10999.0
2021,1,0,48,101,0,0,1,1100.0,1147.0,47.0,1123.5
2021,1,0,48,101,0,0,0,2638.0,2638.0,0.0,2638.0
2021,1,0,48,101,0,2,1,2248.0,3156.0,908.0,2702.0
2021,1,0,48,101,0,2,0,5070.0,5966.0,896.0,5518.0
2021,1,0,48,101,0,6,1,1255.0,2046.0,791.0,1650.5
2021,1,0,48,101,0,6,0,2570.0,2570.0,0.0,2570.0
2021,1,0,48,105,0,4,1,2017.0,3216.0,1199.0,2616.5
2021,1,0,48,105,0,4,0,5341.0,7597.0,2256.0,6469.0
2021,1,0,48,105,0,0,1,359.0,652.0,293.0,505.5
2021,1,0,48,105,0,0,0,1451.0,1775.0,324.0,1613.0
2021,1,0,48,105,0,2,1,759.0,1623.0,864.0,1191.0
2021,1,0,48,105,0,2,0,2814.0,3910.0,1096.0,3362.0
2021,1,0,48,105,0,6,1,272.0,875.0,603.0,573.5
2021,1,0,48,105,0,6,0,975.0,1547.0,572.0,1261.0
2021,1,0,48,105,0,8,1,40.0,149.0,109.0,94.5
2021,1,0,48,105,0,8,0,142.0,617.0,475.0,379.5
2021,1,0,48,130,0,4,1,1.0,66.0,65.0,33.5
2021,1,0,48,130,0,4,0,107.0,361.0,254.0,234.0
2021,1,0,48,130,0,5,1,4.0,8.0,4.0,6.0
2021,1,0,48,130,0,0,1,4.0,19.0,15.0,11.5
2021,1,0,48,130,0,0,0,52.0,62.0,10.0,57.0
2021,1,0,48,130,0,1,1,4.0,4.0,0.0,4.0
2021,1,0,48,130,0,2,1,5.0,50.0,45.0,27.5
2021,1,0,48,130,0,2,0,56.0,166.0,110.0,111.0
2021,1,0,48,130,0,3,1,1.0,2.0,1.0,1.5
2021,1,0,48,130,0,6,1,1.0,25.0,24.0,13.0
2021,1,0,48,130,0,6,0,27.0,107.0,80.0,67.0
2021,1,0,48,130,0,7,1,1.0,1.0,0.0,1.0
2021,1,0,48,130,0,8,1,1.0,11.0,10.0,6.0
2021,1,0,48,130,0,8,0,27.0,87.0,60.0,57.0
2021,1,0,48,130,0,9,1,1.0,1.0,0.0,1.0
2021,1,0,48,153,0,4,1,749.0,1910.0,1161.0,1329.5
2021,1,0,48,153,0,4,0,3093.0,4431.0,1338.0,3762.0
2021,1,0,48,153,0,5,1,13.0,13.0,0.0,13.0
2021,1,0,48,153,0,0,1,271.0,429.0,158.0,350.0
2021,1,0,48,153,0,0,0,868.0,868.0,0.0,868.0
2021,1,0,48,153,0,2,1,610.0,1189.0,579.0,899.5
2021,1,0,48,153,0,2,0,2832.0,2832.0,0.0,2832.0
2021,1,0,48,153,0,3,1,36.0,36.0,0.0,36.0
2021,1,0,48,153,0,6,1,472.0,894.0,422.0,683.0
2021,1,0,48,153,0,6,0,1182.0,1182.0,0.0,1182.0
2021,1,0,48,153,0,8,1,404.0,493.0,89.0,448.5
2021,1,0,48,153,0,8,0,277.0,277.0,0.0,277.0
2021,1,0,48,155,0,4,1,95.0,420.0,325.0,257.5
2021,1,0,48,155,0,4,0,454.0,916.0,462.0,685.0
2021,1,0,48,155,0,5,1,52.0,52.0,0.0,52.0
2021,1,0,48,155,0,5,0,106.0,106.0,0.0,106.0
2021,1,0,48,155,0,0,1,39.0,117.0,78.0,78.0
2021,1,0,48,155,0,0,0,208.0,217.0,9.0,212.5
2021,1,0,48,155,0,2,1,105.0,268.0,163.0,186.5
2021,1,0,48,155,0,2,0,368.0,706.0,338.0,537.0
2021,1,0,48,155,0,3,1,16.0,16.0,0.0,16.0
2021,1,0,48,155,0,6,1,51.0,128.0,77.0,89.5
2021,1,0,48,155,0,6,0,332.0,642.0,310.0,487.0
2021,1,0,48,155,0,8,1,23.0,80.0,57.0,51.5
2021,1,0,48,155,0,8,0,21.0,21.0,0.0,21.0
2021,1,0,48,156,0,4,1,495.0,795.0,300.0,645.0
2021,1,0,48,156,0,4,0,1319.0,2686.0,1367.0,2002.5
2021,1,0,48,156,0,5,1,59.0,59.0,0.0,59.0
2021,1,0,48,156,0,0,1,157.0,190.0,33.0,173.5
2021,1,0,48,156,0,0,0,481.0,599.0,118.0,540.0
2021,1,0,48,156,0,2,1,211.0,495.0,284.0,353.0
2021,1,0,48,156,0,2,0,1304.0,1481.0,177.0,1392.5
2021,1,0,48,156,0,3,1,55.0,55.0,0.0,55.0
2021,1,0,48,156,0,6,1,176.0,275.0,99.0,225.5
2021,1,0,48,156,0,6,0,659.0,841.0,182.0,750.0
2021,1,0,48,156,0,8,1,124.0,191.0,67.0,157.5
2021,1,0,48,156,0,8,0,215.0,215.0,0.0,215.0
2021,1,0,48,189,0,4,1,1592.0,2776.0,1184.0,2184.0
2021,1,0,48,189,0,4,0,5505.0,5838.0,333.0,5671.5
2021,1,0,48,189,0,0,1,542.0,708.0,166.0,625.0
2021,1,0,48,189,0,0,0,2255.0,2255.0,0.0,2255.0
2021,1,0,48,189,0,2,1,1378.0,2075.0,697.0,1726.5
2021,1,0,48,189,0,2,0,5160.0,5172.0,12.0,5166.0
2021,1,0,48,189,0,6,1,956.0,1288.0,332.0,1122.0
