year,round,type,institute,branch,quota,seat_type,gender,open_rank,close_rank,rank_gap,rank_mid,open_rank_t-1,close_rank_t-1,open_rank_t-2,close_rank_t-2,open_rank_mean_last_2,close_rank_mean_last_2,open_rank_std_last_2,close_rank_std_last_2
2023,1,0,47,108,0,6,1,2598.0,2645.0,47.0,2621.5,2306.0,2322.0,2235.0,2404.0,2452.0,2483.5,206.47518010647187,228.39549032325485
2023,1,0,47,107,0,4,0,18956.0,18956.0,0.0,18956.0,18771.0,18771.0,18954.0,18954.0,18863.5,18863.5,130.8147545195113,130.8147545195113
2023,1,0,47,107,0,0,1,2034.0,2034.0,0.0,2034.0,1831.0,1831.0,1691.0,1691.0,1932.5,1932.5,143.54267658086914,143.54267658086914
2023,1,0,47,107,0,2,1,4711.0,4844.0,133.0,4777.5,4368.0,4498.0,4063.0,4338.0,4539.5,4671.0,242.5376259469858,244.65894629054543
2023,1,0,47,109,0,2,1,5005.0,5066.0,61.0,5035.5,3866.0,4717.0,4133.0,4483.0,4435.5,4891.5,805.3946237714777,246.7802666341051
2023,1,0,47,109,0,6,1,2302.0,2302.0,0.0,2302.0,1720.0,1720.0,2275.0,2275.0,2011.0,2011.0,411.5361466505707,411.5361466505707
2023,1,0,47,109,0,8,1,1154.0,1154.0,0.0,1154.0,910.0,910.0,918.0,918.0,1032.0,1032.0,172.5340546095176,172.5340546095176
2023,1,0,47,108,0,4,0,21572.0,21572.0,0.0,21572.0,20790.0,20790.0,19513.0,19513.0,21181.0,21181.0,552.9575028878802,552.9575028878802
2023,1,0,47,108,0,0,1,2048.0,2048.0,0.0,2048.0,1969.0,1969.0,1754.0,1754.0,2008.5,2008.5,55.86143571373726,55.86143571373726
2023,1,0,47,108,0,2,1,4896.0,4942.0,46.0,4919.0,4547.0,4628.0,3685.0,4402.0,4721.5,4785.0,246.7802666341051,222.03152929257593
2023,1,0,47,109,0,4,1,11834.0,13859.0,2025.0,12846.5,11628.0,12500.0,11345.0,11828.0,11731.0,13179.5,145.6639969244288,960.9581156325181
2023,1,0,47,109,0,4,0,21935.0,21935.0,0.0,21935.0,17139.0,17139.0,19556.0,19556.0,19537.0,19537.0,3391.284122570682,3391.284122570682
2023,1,0,47,109,0,0,1,2153.0,2227.0,74.0,2190.0,1844.0,1844.0,1812.0,1812.0,1998.5,2035.5,218.4959953866432,270.82189719444773
2023,1,0,47,131,0,8,1,212.0,212.0,0.0,212.0,354.0,354.0,378.0,378.0,283.0,283.0,100.40916292848975,100.40916292848975
2023,1,0,47,160,0,4,1,6989.0,7414.0,425.0,7201.5,6355.0,6789.0,5104.0,6086.0,6672.0,7101.5,448.3056992722711,441.9417382415922
2023,1,0,47,160,0,4,0,12898.0,12898.0,0.0,12898.0,11359.0,11359.0,12517.0,12517.0,12128.5,12128.5,1088.2373362460967,1088.2373362460967
2023,1,0,47,130,0,3,1,41.0,41.0,0.0,41.0,34.0,34.0,51.0,51.0,37.5,37.5,4.949747468305833,4.949747468305833
2023,1,0,47,130,0,6,1,166.0,426.0,260.0,296.0,280.0,366.0,240.0,415.0,223.0,396.0,80.61017305526642,42.42640687119285
2023,1,0,47,130,0,6,0,321.0,935.0,614.0,628.0,725.0,725.0,850.0,910.0,523.0,830.0,285.6711395993652,148.49242404917499
